geoarea,status,region,subregion,geoarea_esri,iso-alpha3,economy,sids,economy_sids,un_region_code,un_region_name,un_subregion_code,un_subregion_name,un_intermediate_region_code,un_intermediate_region_name,un_area,m49_code,mrgid,eez_area,total_eez_area,eez_deeper_than_200,eez_area_0_to_200m,eez_area_200_to_1000m,eez_area_1000_to_2000m,eez_area_2000_to_4000m,eez_area_4000_to_6000m,eez_area_deeper_than_6000m,pct_eez_deeper_than_200,no_ocean,has_ocean,has_ocean_no_deep,has_ocean_deep,ocean_status,50_percent_or_more,90_percent_or_more,Depth_200_PCT,Depth_200_1000_PCT,Depth_1000_2000_PCT,Depth_2000_4000_PCT,Depth_4000_6000_PCT,Depth_6000_PCT,num_survey,num_survey_geo,num_research_geo,survey_research,survey_alone,research_alone,no_data,yes_data,data_sources,no_research_why,check,geoarea eez check,Sovereign,income_group_wb,has_deep_ocean,,dscsr-all,dscsr-imp,dscsr-tools,dscsr-exp,dscsr-group,dscsr-group-imp,dscsr-group-tools,dscsr-group-exp,dsc-pi-all,dsc-pi-vessel,dsc-pi-dsv,dsc-pi-sensor,dsc-pi-data,dsc-pi-org,dsc-pi-ind,dsc-ai-all,dsc-ai-vessel,dsc-ai-dsv,dsc-ai-sensor,dsc-ai-data,dsc-si-all,dsc-si-vessel,dsc-si-dsv,dsc-si-sensor,dsc-si-data,dsc-index-group
Chagos Archipelago,Territory,Africa,Eastern Africa,British Indian Ocean Territory,,Developing,,Developing,,,,,,,,,62589,Chagos Archipelago,648783.147,629550.6489,19232.49813,17341.76166,40489.54472,326724.3673,244994.7626,0.212594911,97.04,0,1,0,1,has_ocean_deep,TRUE,TRUE,3,3,6,50,38,0,0,0,1,0,0,1,0,1,research_only,,1,Chagos Archipelago,Mauritius,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,4,1,1,3,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
Equatorial Guinea,Sovereign,Africa,Middle Africa,Equatorial Guinea,GNQ,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Equatorial Guinea,226,8398,Equatorial Guinea,303627.1306,292980.7507,10646.37991,6793.61039,26050.23797,93143.74598,166993.1564,0,96.49,0,1,0,1,has_ocean_deep,TRUE,TRUE,4,2,9,31,55,0,0,0,1,0,0,1,0,1,research_only,,1,Equatorial Guinea,Equatorial Guinea,Upper middle income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,3,1,2,5,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
Guinea-Bissau,Sovereign,Africa,Western Africa,Guinea-Bissau,GNB,Developing,SIDS,SIDS,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Guinea-Bissau,624,8471,Guinea-Bissau,75345.42494,41022.28362,34323.14132,12922.40904,4818.60252,15220.85541,8060.416645,0,54.45,0,1,0,1,has_ocean_deep,TRUE,FALSE,46,17,6,20,11,0,0,0,1,0,0,1,0,1,research_only,,1,Guinea-Bissau,Guinea-Bissau,Low income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,5,1,1,2,2,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
Liberia,Sovereign,Africa,Western Africa,Liberia,LBR,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Liberia,430,8391,Liberia,251341.8396,233105.3211,18236.51843,7361.147248,11473.39105,60680.50584,153590.277,0,92.74,0,1,0,1,has_ocean_deep,TRUE,TRUE,7,3,5,24,61,0,0,0,1,0,0,1,0,1,research_only,,1,Liberia,Liberia,Low income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,1,1,4,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
Mauritania,Sovereign,Africa,Western Africa,Mauritania,MRT,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Mauritania,478,8369,Mauritania,172627.4091,138512.3336,34115.07546,10240.43627,18720.7673,109551.13,0,0,80.24,0,1,0,1,has_ocean_deep,TRUE,FALSE,20,6,11,63,0,0,0,0,1,0,0,1,0,1,research_only,,1,Mauritania,Mauritania,Lower middle income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,1,3,5,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
Mayotte,Territory,Africa,Eastern Africa,Mayotte,MYT,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Mayotte,175,48944,Mayotte,66687.60601,65387.13172,1300.474284,991.0060346,2423.63983,61972.06721,0.418647051,0,98.05,0,1,0,1,has_ocean_deep,TRUE,TRUE,2,1,4,93,0,0,0,0,1,0,0,1,0,1,research_only,,1,Mayotte,France,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,4,5,5,3,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
Saint Helena,Territory,Africa,Middle Africa,Saint Helena,SHN,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Saint Helena,654,8380,Saint Helena,449061.5245,448581.1537,480.3708778,1038.489595,2555.322494,97755.14384,347182.7732,49.42456712,99.89,0,1,0,1,has_ocean_deep,TRUE,TRUE,0,0,1,22,77,0,0,0,1,0,0,1,0,1,research_only,,1,Saint Helena,United Kingdom,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,2,1,2,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
Sierra Leone,Sovereign,Africa,Western Africa,Sierra Leone,SLE,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sierra Leone,694,8390,Sierra Leone,159622.3438,133134.5472,26487.79659,3179.674482,4628.101656,23730.77056,101596.0005,0,83.41,0,1,0,1,has_ocean_deep,TRUE,FALSE,17,2,3,15,64,0,0,0,1,0,0,1,0,1,research_only,,1,Sierra Leone,Sierra Leone,Low income,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,1,1,3,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
Tristan da Cunha,Territory,Africa,Southern Africa,Tristan da Cunha,,Unclassified,,Unclassified,,,,,,,,,8382,Tristan da Cunha,758081.3299,756852.1927,1229.13717,4457.375331,8648.41972,700504.9841,43241.41358,0,99.84,0,1,0,1,has_ocean_deep,TRUE,TRUE,0,1,1,92,6,0,0,0,1,0,0,1,0,1,research_only,,1,Tristan da Cunha,United Kingdom,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,1,3,2,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,C
Cabo Verde,Sovereign,Africa,Western Africa,Cabo Verde,CPV,Developing,SIDS,SIDS,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Cabo Verde,132,8362,Cape Verde,801251.072,796991.487,4259.584964,6597.690667,11060.5688,281338.8474,497994.3801,0,99.47,0,1,0,1,has_ocean_deep,TRUE,TRUE,1,1,1,35,62,0,1,1,1,1,0,0,0,1,survey_research,,1,Cabo Verde,Cape Verde,Lower middle income,1,,3,4,1,3,D,4.50,1.50,3.00,1,5,1,1,2,3,4,2,2,1,2,3,2,1,3,2,1,D
Djibouti,Sovereign,Africa,Eastern Africa,Djibouti,DJI,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Djibouti,262,8352,Djibouti,7016.509647,4904.327252,2112.182395,3995.64456,908.6826916,0,0,0,69.90,0,1,0,1,has_ocean_deep,TRUE,FALSE,30,57,13,0,0,0,1,1,1,1,0,0,0,1,survey_research,,1,Djibouti,Djibouti,Lower middle income,1,,2,4,1,2,E,4.25,1.25,1.75,2,4,1,1,4,4,4,2,2,1,2,2,2,1,1,2,2,D
Eritrea,Sovereign,Africa,Eastern Africa,Eritrea,ERI,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eritrea,232,8351,Eritrea,76836.07463,17474.90844,59361.16619,15768.7236,1706.184837,0,0,0,22.74,0,1,0,1,has_ocean_deep,FALSE,FALSE,77,21,2,0,0,0,1,1,1,1,0,0,0,1,survey_research,,1,Eritrea,Eritrea,Low income,1,,2,4,1,2,E,4.25,1.25,1.75,2,5,1,1,3,3,5,2,2,1,2,2,2,1,1,2,2,D
Gabon,Sovereign,Africa,Middle Africa,Gabon,GAB,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Gabon,266,8476,Gabon,199318.5829,160485.0528,38833.53003,14360.79977,23327.74975,93478.50349,29317.99983,0,80.52,0,1,0,1,has_ocean_deep,TRUE,FALSE,19,7,12,47,15,0,1,1,1,1,0,0,0,1,survey_research,,1,Gabon,Gabon,Upper middle income,1,,2,3,1,2,F,2.60,1.00,1.80,3,5,1,3,5,5,5,2,2,1,2,2,2,1,2,2,1,D
Gambia,Sovereign,Africa,Western Africa,Gambia,GMB,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Gambia,270,8370,Gambia,22429.16744,16997.85073,5431.316708,701.194943,955.0315866,6799.505023,8542.119178,0,75.78,0,1,0,1,has_ocean_deep,TRUE,FALSE,24,3,4,30,38,0,1,1,1,1,0,0,0,1,survey_research,,1,Gambia,Gambia,Low income,1,,3,4,1,3,D,4.50,1.50,3.00,2,5,1,1,3,4,4,2,2,1,2,3,2,1,3,2,1,D
Ghana,Sovereign,Africa,Western Africa,Ghana,GHA,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Ghana,288,8400,Ghana,226958.5987,203886.2869,23072.31182,5396.431392,9633.057325,34102.33167,154754.4665,0,89.83,0,1,0,1,has_ocean_deep,TRUE,FALSE,10,2,4,15,68,0,1,1,1,1,0,0,0,1,survey_research,,1,Ghana,Ghana,Lower middle income,1,,3,4,1,3,D,4.50,1.50,3.00,2,5,1,1,3,4,5,2,2,1,2,3,2,1,3,2,1,D
Guinea,Sovereign,Africa,Western Africa,Guinea,GIN,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Guinea,324,8472,Guinea,101163.5305,52516.56169,48646.96882,9127.332745,6587.913173,14614.10501,22187.21076,0,51.91,0,1,0,1,has_ocean_deep,TRUE,FALSE,48,9,7,14,22,0,1,1,1,1,0,0,0,1,survey_research,,1,Guinea,Guinea,Low income,1,,3,4,1,3,D,4.50,1.50,3.00,3,5,1,3,5,5,4,2,2,1,2,3,2,1,3,2,1,D
Libya,Sovereign,Africa,Northern Africa,Libya,LBY,Developing,,Developing,2,Africa,15,Northern Africa,,,Libya,434,8372,Libya,364199.5931,297952.2049,66247.38816,84931.6459,82523.97107,130068.9123,427.675657,0,81.81,0,1,0,1,has_ocean_deep,TRUE,FALSE,18,23,23,36,0,0,1,1,1,1,0,0,0,1,survey_research,,1,Libya,Libya,Upper middle income,1,,3,3,2,3,C,2.40,2.00,3.40,2,4,1,1,5,5,3,2,2,1,3,3,3,3,2,3,2,C
Namibia,Sovereign,Africa,Southern Africa,Namibia,NAM,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,18,Southern Africa,Namibia,516,8395,Namibia,561735.3714,468528.6867,93206.68477,111836.9601,79182.14625,206087.4124,71422.16792,0,83.41,0,1,0,1,has_ocean_deep,TRUE,FALSE,17,20,14,37,13,0,1,1,1,1,0,0,0,1,survey_research,,1,Namibia,Namibia,Upper middle income,1,,2,3,1,2,F,2.60,1.00,1.80,4,5,3,2,5,4,5,3,2,2,3,3,2,2,2,2,1,C
Sao Tome and Principe,Sovereign,Africa,Middle Africa,Sao Tome and Principe,STP,Developing,SIDS,SIDS,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Sao Tome and Principe,678,8397,Sao Tome and Principe,130712.4434,129166.7227,1545.720629,1443.007369,3702.11978,112549.7801,11471.8155,0,98.82,0,1,0,1,has_ocean_deep,TRUE,TRUE,1,1,3,86,9,0,1,1,1,1,0,0,0,1,survey_research,,1,Sao Tome and Principe,Sao Tome and Principe,Lower middle income,1,,2,3,1,2,F,2.60,1.00,1.80,1,4,1,1,5,2,4,2,2,1,2,2,2,1,2,2,1,D
Togo,Sovereign,Africa,Western Africa,Togo,TGO,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Togo,768,8392,Togo,15419.66155,14284.11024,1135.551307,345.871653,697.609855,7710.212965,5530.415766,0,92.64,0,1,0,1,has_ocean_deep,TRUE,TRUE,7,2,5,50,36,0,1,1,1,1,0,0,0,1,survey_research,,1,Togo,Togo,Low income,1,,3,4,1,3,D,4.50,1.50,3.00,3,4,1,2,4,5,4,2,2,1,2,3,2,1,3,2,1,D
Tunisia,Sovereign,Africa,Northern Africa,Tunisia,TUN,Developing,,Developing,2,Africa,15,Northern Africa,,,Tunisia,788,8366,Tunisia,99390.62389,32849.88054,66540.74336,27651.98748,2594.616525,2603.276531,0,0,33.05,0,1,0,1,has_ocean_deep,FALSE,FALSE,67,28,3,3,0,0,1,1,1,1,0,0,0,1,survey_research,,1,Tunisia,Tunisia,Lower middle income,1,,3,3,2,3,C,2.40,2.00,3.40,4,5,3,4,5,5,4,2,2,1,3,3,3,3,2,3,2,C
Congo,Sovereign,Africa,Middle Africa,Congo,COG,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Congo,178,8394,Republic of the Congo,33675.22091,25606.9245,8068.296418,2221.781383,6484.167115,16900.976,0,0,76.04,0,1,0,1,has_ocean_deep,TRUE,FALSE,24,7,19,50,0,0,2,1,1,1,0,0,0,1,survey_research,,1,Congo,Republic of the Congo,Lower middle income,1,,2,3,1,2,F,2.60,1.00,1.80,2,4,1,1,3,4,3,2,2,1,2,2,2,1,2,2,1,D
Côte d’Ivoire,Sovereign,Africa,Western Africa,Côte d'Ivoire,CIV,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Côte d’Ivoire,384,8473,Ivory Coast,170578.9142,158510.5546,12068.35956,3556.820369,8322.893807,44958.99033,101671.8501,0,92.93,0,1,0,1,has_ocean_deep,TRUE,TRUE,7,2,5,26,60,0,2,1,1,1,0,0,0,1,survey_research,,1,Côte d’Ivoire,Ivory Coast,Lower middle income,1,,3,4,1,3,D,4.50,1.50,3.00,3,4,1,2,5,5,4,2,2,1,2,3,2,1,3,2,1,D
Democratic Republic of the Congo,Sovereign,Africa,Middle Africa,Congo DRC,COD,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Democratic Republic of the Congo,180,8477,Democratic Republic of the Congo,13162.60026,10607.16278,2555.437481,2107.579962,1899.371713,6600.211103,0,0,80.59,0,1,0,1,has_ocean_deep,TRUE,FALSE,19,16,14,50,0,0,2,1,1,1,0,0,0,1,survey_research,,1,Democratic Republic of the Congo,Democratic Republic of the Congo,Low income,1,,2,3,1,2,F,2.60,1.00,1.80,3,5,2,1,4,4,4,2,2,1,2,2,2,1,2,2,1,D
Madagascar,Sovereign,Africa,Eastern Africa,Madagascar,MDG,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Madagascar,450,8348,Madagascar,1189766.852,1075185.892,114580.9601,41334.80723,127272.0377,454214.8905,452364.1566,0,90.37,0,1,0,1,has_ocean_deep,TRUE,TRUE,10,3,11,38,38,0,2,1,1,1,0,0,0,1,survey_research,,1,Madagascar,Madagascar,Low income,1,,2,4,1,2,E,4.25,1.25,1.75,2,5,1,1,4,5,4,2,2,1,2,2,2,1,1,2,2,D
Mozambique,Sovereign,Africa,Eastern Africa,Mozambique,MOZ,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Mozambique,508,8347,Mozambique,562185.5647,481611.0216,80574.5431,70517.83413,138867.1195,261384.7132,10841.35474,0,85.67,0,1,0,1,has_ocean_deep,TRUE,FALSE,14,13,25,46,2,0,2,1,1,1,0,0,0,1,survey_research,,1,Mozambique,Mozambique,Low income,1,,2,4,1,2,E,4.25,1.25,1.75,2,5,1,1,4,5,5,2,2,1,2,2,2,1,1,2,2,D
Nigeria,Sovereign,Africa,Western Africa,Nigeria,NGA,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Nigeria,566,8474,Nigeria,176886.9348,134629.8203,42257.11442,22410.62079,26877.88296,75706.57686,9634.739726,0,76.11,0,1,0,1,has_ocean_deep,TRUE,FALSE,24,13,15,43,5,0,2,1,1,1,0,0,0,1,survey_research,,1,Nigeria,Nigeria,Lower middle income,1,,3,4,1,3,D,4.50,1.50,3.00,2,5,1,1,5,4,4,2,2,1,2,3,2,1,3,2,1,D
Cameroon,Sovereign,Africa,Middle Africa,Cameroon,CMR,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Cameroon,120,8475,Cameroon,14396.09173,2984.746443,11411.34528,1493.92605,1490.820393,0,0,0,20.73,0,1,0,1,has_ocean_deep,FALSE,FALSE,79,10,10,0,0,0,3,1,1,1,0,0,0,1,survey_research,,1,Cameroon,Cameroon,Lower middle income,1,,2,3,1,2,F,2.60,1.00,1.80,2,5,1,1,3,4,5,2,2,1,2,2,2,1,2,2,1,D
Mauritius,Sovereign,Africa,Eastern Africa,Mauritius,MUS,Developing,SIDS,SIDS,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Mauritius,480,8343,Republic of Mauritius,1277613.714,1238868.161,38745.55292,47514.07946,42600.57316,674137.0051,474615.2846,1.218398035,96.97,0,1,0,1,has_ocean_deep,TRUE,TRUE,3,4,3,53,37,0,3,1,1,1,0,0,0,1,survey_research,,1,Mauritius,Mauritius,Upper middle income,1,,2,4,1,2,E,4.25,1.25,1.75,2,5,1,1,5,4,4,2,2,1,2,2,2,1,1,2,2,D
Seychelles,Sovereign,Africa,Eastern Africa,Seychelles,SYC,Developing,SIDS,SIDS,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Seychelles,690,8337,Seychelles,1338357.976,1291364.125,46993.85144,17175.83892,74832.85849,443203.739,756151.6881,0,96.49,0,1,0,1,has_ocean_deep,TRUE,TRUE,4,1,6,33,56,0,3,1,1,1,0,0,0,1,survey_research,,1,Seychelles,Seychelles,High income,1,,2,4,1,2,E,4.25,1.25,1.75,3,5,2,3,4,4,4,2,2,1,2,2,2,1,1,2,2,D
Sudan,Sovereign,Africa,Northern Africa,Sudan,SDN,Developing,,Developing,2,Africa,15,Northern Africa,,,Sudan,729,8355,Sudan,61446.72194,49043.62492,12403.09702,37983.80404,9025.701237,2034.119647,0,0,79.81,0,1,0,1,has_ocean_deep,TRUE,FALSE,20,62,15,3,0,0,3,1,1,1,0,0,0,1,survey_research,,1,Sudan,Sudan,Low income,1,,3,3,2,3,C,2.40,2.00,3.40,2,5,1,2,4,5,4,2,2,1,3,3,3,3,2,3,2,C
Angola,Sovereign,Africa,Middle Africa,Angola,AGO,Developing,,Developing,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Angola,24,8478,Angola,494593.0272,444695.7301,49897.29718,32303.12709,76442.42902,222763.1198,113187.0542,0,89.91,0,1,0,1,has_ocean_deep,TRUE,FALSE,10,7,15,45,23,0,4,1,1,1,0,0,0,1,survey_research,,1,Angola,Angola,Lower middle income,1,,2,3,1,2,F,2.60,1.00,1.80,1,5,1,1,1,3,4,2,2,1,2,2,2,1,2,2,1,D
